Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 653.088 , 1.76764 , 0.025 , 0.602 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 104 , 157 , 0.055166 , 0 , 0 , 6 , 10 , 0.076949 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 658.265 , 0.988914 , 1.014 , 1.472 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 1 , 153 , 0.247664 , 0 , 0 , 4 , 0 , 0.035137 , 378 , 0.248995 , 3 , 0.010062 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 659.832 , 0.753264 , 1.017 , 1.373 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 22 , 143 , 0.249573 , 0 , 0 , 1 , 0 , 0.016949 , 378 , 0.246274 , 3 , 0.008091 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 659.928 , 0.738824 , 3.207 , 3.69 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 120 , 187 , 0.325173 , 0 , 0 , 5 , 0 , 0.048144 , 380 , 2.35543 , 10 , 0.022808 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 614.24 , 606.146 , 1.31774 , 0.018 , 0.082 , 4 , 602 , 12.24 , 12.24 , 13.04 , 614.24 , 614.24 , 0 , 1 , 80 , 0.006332 , 0 , 0 , 2 , 4 , 0.004684 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 614.24 , 613.666 , 0.0934347 , 0.116 , 0.15 , 4 , 602 , 12.24 , 12.24 , 13.04 , 614.24 , 614.24 , 0 , 1 , 69 , 0.015906 , 0 , 0 , 0 , 0 , 0.001746 , 10 , 0.012734 , 0 , 0.001272 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 614.24 , 614.24 , 3.70171e-14 , 0.115 , 0.139 , 4 , 602 , 12.24 , 12.24 , 13.04 , 614.24 , 614.24 , 0 , 1 , 64 , 0.015389 , 0 , 0 , 0 , 0 , 0.001802 , 10 , 0.012729 , 0 , 0.001193 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 614.24 , 614.24 , 3.70171e-14 , 0.833 , 0.859 , 4 , 602 , 12.24 , 12.24 , 13.04 , 614.24 , 614.24 , 0 , 1 , 64 , 0.015709 , 0 , 0 , 0 , 0 , 0.001802 , 10 , 0.728324 , 0 , 0.001193 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 690.84 , 677.5 , 1.93098 , 0.023 , 0.32 , 4 , 686 , 4.84 , 4.84 , 5.8 , 690.84 , 690.84 , 0 , 113 , 147 , 0.027445 , 0 , 0 , 6 , 43 , 0.033337 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 690.84 , 681.76 , 1.31436 , 1.118 , 1.872 , 4 , 686 , 4.84 , 4.84 , 5.8 , 690.84 , 690.84 , 0 , 186 , 164 , 0.403046 , 0 , 0 , 2 , 0 , 0.057459 , 319 , 0.404926 , 29 , 0.038203 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 690.84 , 683.89 , 1.00606 , 1.124 , 2.127 , 4 , 686 , 4.84 , 4.84 , 5.8 , 690.84 , 690.84 , 0 , 366 , 216 , 0.443367 , 0 , 0 , 4 , 0 , 0.059926 , 319 , 0.406574 , 41 , 0.065087 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 690.84 , 683.9 , 1.00457 , 4.348 , 5.175 , 4 , 686 , 4.84 , 4.84 , 5.8 , 690.84 , 690.84 , 0 , 234 , 172 , 0.689722 , 0 , 0 , 3 , 0 , 0.071729 , 333 , 3.39612 , 35 , 0.04743 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 689.167 , 3.62384 , 0.035 , 9.598 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 2215 , 1144 , 0.704816 , 0 , 0 , 23 , 121 , 0.314282 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 697.906 , 2.40163 , 2.27 , 15.949 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 2432 , 1404 , 1.29841 , 0 , 0 , 14 , 0 , 0.329739 , 584 , 0.575061 , 205 , 0.352256 , 1 , 0
