Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 664.347 , 657.784 , 0.987811 , 0.302 , 6.088 , 2 , 658.706 , 5.64038 , 5.64038 , 5.64038 , 664.347 , 664.347 , 0 , 571 , 397 , 0.351355 , 0 , 0 , 117 , 1.18104 , 49 , 0.073258 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 686.163 , 677.908 , 1.2032 , 0.027 , 1.367 , 2 , 682.983 , 3.18031 , 3.18031 , 3.94606 , 686.163 , 686.163 , 0 , 266 , 263 , 0.121842 , 0 , 0 , 62 , 0.301503 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 686.163 , 679.061 , 1.03512 , 0.119 , 4.566 , 2 , 682.983 , 3.18031 , 3.18031 , 3.94606 , 686.163 , 686.163 , 0 , 600 , 373 , 0.279714 , 0 , 0 , 117 , 0.562165 , 10 , 0.021175 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 686.163 , 681.082 , 0.740546 , 0.127 , 1.733 , 2 , 682.983 , 3.18031 , 3.18031 , 3.94606 , 686.163 , 686.163 , 0 , 382 , 326 , 0.198352 , 0 , 0 , 54 , 0.322835 , 10 , 0.021696 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 701.58 , 686.281 , 2.18074 , 0.054 , 2.273 , 2 , 696.334 , 5.24655 , 5.24655 , 5.24655 , 701.58 , 701.58 , 0 , 814 , 284 , 0.273748 , 0 , 0 , 57 , 1.05852 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 701.58 , 686.569 , 2.13971 , 0.147 , 7.348 , 2 , 696.334 , 5.24655 , 5.24655 , 5.24655 , 701.58 , 701.58 , 0 , 1062 , 444 , 0.443814 , 0 , 0 , 101 , 1.67966 , 4 , 0.02411 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 701.58 , 686.76 , 2.1125 , 0.182 , 4.008 , 2 , 696.334 , 5.24655 , 5.24655 , 5.24655 , 701.58 , 701.58 , 0 , 815 , 411 , 0.378073 , 0 , 0 , 73 , 1.32871 , 4 , 0.030318 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 639.185 , 634.479 , 0.736243 , 0.063 , 0.998 , 2 , 636.54 , 2.64507 , 2.64507 , 2.64507 , 639.185 , 639.185 , 0 , 194 , 250 , 0.104361 , 0 , 0 , 60 , 0.253239 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 639.185 , 634.71 , 0.700113 , 0.151 , 0.872 , 2 , 636.54 , 2.64507 , 2.64507 , 2.64507 , 639.185 , 639.185 , 0 , 114 , 210 , 0.1042 , 0 , 0 , 27 , 0.150534 , 2 , 0.014364 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 639.185 , 634.71 , 0.700113 , 0.127 , 0.713 , 2 , 636.54 , 2.64507 , 2.64507 , 2.64507 , 639.185 , 639.185 , 0 , 114 , 210 , 0.083869 , 0 , 0 , 27 , 0.121716 , 2 , 0.011571 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 664.972 , 659.658 , 0.799103 , 0.033 , 1.011 , 2 , 655.131 , 9.84088 , 9.84088 , 13.8111 , 664.972 , 664.972 , 0 , 197 , 119 , 0.061754 , 0 , 0 , 53 , 0.51063 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 664.972 , 655.656 , 1.40094 , 0.283 , 2.086 , 2 , 655.131 , 9.84088 , 9.84088 , 13.8111 , 664.972 , 664.972 , 0 , 407 , 183 , 0.165465 , 0 , 0 , 63 , 1.03542 , 42 , 0.086518 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 664.972 , 655.889 , 1.36582 , 0.236 , 1.432 , 2 , 655.131 , 9.84088 , 9.84088 , 13.8111 , 664.972 , 664.972 , 0 , 321 , 151 , 0.101365 , 0 , 0 , 47 , 0.702496 , 42 , 0.069812 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 673.105 , 663.454 , 1.43373 , 0.11 , 2.389 , 2 , 670.767 , 2.3374 , 2.3374 , 2.60636 , 673.105 , 673.105 , 0 , 519 , 351 , 0.243784 , 0 , 0 , 100 , 0.973951 , 0 , 0 , 0 , 0 , 1
