Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 693.87 , 0.374742 , 60.045 , 60.585 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 115 , 123 , 1.77426 , 20 , 0.096149 , 0 , 0 , 3102 , 43.7424 , 39 , 0.027281 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 594.4 , 0.3938 , 0.038 , 0.538 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 61 , 159 , 0.009615 , 18 , 0.013411 , 21 , 0.003542 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 596.69 , 0.0100545 , 18.263 , 18.453 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 1 , 174 , 0.526745 , 5 , 0.006022 , 0 , 0 , 1916 , 5.62658 , 38 , 0.005926 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 596.69 , 0.0100545 , 19.472 , 19.713 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 1 , 174 , 0.531812 , 6 , 0.031213 , 0 , 0 , 1916 , 6.43341 , 38 , 0.005986 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.87 , 708.63 , 0.0338567 , 0.042 , 0.519 , 4 , 706 , 2.87 , 2.69 , 2.87 , 708.87 , 708.87 , 0 , 1 , 150 , 0.010661 , 28 , 0.010095 , 22 , 0.002812 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.87 , 708.87 , 0 , 7.622 , 7.818 , 4 , 706 , 2.87 , 2.69 , 2.87 , 708.87 , 708.87 , 0 , 1 , 185 , 0.057461 , 4 , 0.002953 , 0 , 0 , 201 , 7.05416 , 21 , 0.003505 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 708.87 , 708.87 , 0 , 7.594 , 7.825 , 4 , 706 , 2.87 , 2.69 , 2.87 , 708.87 , 708.87 , 0 , 1 , 185 , 0.058816 , 3 , 0.022671 , 0 , 0 , 201 , 7.0151 , 19 , 0.005283 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.9 , 689.03 , 1.27096 , 0.034 , 1.996 , 4 , 690 , 7.9 , 7.84 , 7.9 , 697.9 , 697.9 , 0 , 508 , 301 , 0.071362 , 59 , 0.052008 , 65 , 0.012649 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.9 , 692.28 , 0.805273 , 50.005 , 51.882 , 4 , 690 , 7.9 , 7.84 , 7.9 , 697.9 , 697.9 , 0 , 580 , 296 , 0.992524 , 53 , 0.10172 , 0 , 0 , 1519 , 39.8042 , 77 , 0.123042 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_5.svrp , 697.9 , 692.28 , 0.805273 , 49.657 , 53.906 , 4 , 690 , 7.9 , 7.84 , 7.9 , 697.9 , 697.9 , 0 , 665 , 348 , 1.02357 , 71 , 0.520258 , 0 , 0 , 1519 , 39.7537 , 88 , 0.154292 , 1
