Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_2.svrp , 2 , 656.331 , 644.375 , 11.9559 , 11.9559 , 656.331 , 656.331 , 0 , 643.98 , 1.88188 , 2032 , 444 , 0 , 2 , 4349 , 702 , 0.128 , 9.795 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_3.svrp , 2 , 676.354 , 666.623 , 9.73093 , 9.73093 , 676.354 , 676.354 , 0 , 667.079 , 1.37128 , 991 , 284 , 0 , 0 , 401 , 216 , 0.052 , 1.708 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_3.svrp , 2 , 676.354 , 666.623 , 9.73093 , 9.73093 , 676.354 , 676.354 , 0 , 667.079 , 1.37128 , 1064 , 255 , 0 , 0 , 1367 , 336 , 0.053 , 2.504 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_3.svrp , 2 , 676.354 , 666.623 , 9.73093 , 9.73093 , 676.354 , 676.354 , 0 , 670.781 , 0.823957 , 582 , 390 , 0 , 19 , 195 , 143 , 0.733 , 2.975 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_3.svrp , 2 , 676.354 , 666.623 , 9.73093 , 9.73093 , 676.354 , 676.354 , 0 , 670.781 , 0.823957 , 444 , 384 , 0 , 19 , 742 , 154 , 0.72 , 2.927 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_4.svrp , 2 , 715.031 , 700.197 , 14.8345 , 14.8345 , 715.031 , 715.031 , 6.60475e-05 , 691.714 , 3.26106 , 50471 , 4426 , 0 , 0 , 21775 , 13374 , 0.022 , 1511.14 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_4.svrp , 2 , 715.031 , 700.197 , 14.8345 , 14.8345 , 715.031 , 713.487 , 0.21601 , 691.714 , 3.26106 , 50177 , 4696 , 0 , 0 , 105318 , 23763 , 0.026 , 1800.02 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_4.svrp , 2 , 715.031 , 700.197 , 14.8345 , 14.8345 , 715.031 , 715.031 , 0 , 694.971 , 2.80551 , 24211 , 2465 , 0 , 10 , 7885 , 5355 , 0.28 , 278.292 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_4.svrp , 2 , 715.031 , 700.197 , 14.8345 , 14.8345 , 715.031 , 715.031 , 6.27875e-05 , 694.971 , 2.80551 , 19019 , 2487 , 0 , 10 , 36783 , 11466 , 0.284 , 277.244 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_5.svrp , 2 , 693.326 , 678.24 , 15.0862 , 15.0862 , 693.326 , 693.326 , 0 , 671.335 , 3.17174 , 2592 , 863 , 0 , 0 , 1116 , 548 , 0.059 , 13.329 , 1
