Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 619.89 , 0.225338 , 1 , 66 , 0 , 12 , 19 , 1 , 0.01 , 0.07 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 618.326 , 0.778959 , 24 , 70 , 3 , 571 , 0 , 0 , 0.03 , 0.22 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 608 , 2.43589 , 113 , 134 , 23 , 0 , 0 , 0 , 0.004 , 0.106 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 608 , 2.43589 , 100 , 121 , 0 , 0 , 238 , 26 , 0.004 , 0.099 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 623.18 , 1.8243e-14 , 1 , 63 , 1 , 13 , 0 , 0 , 0.009 , 0.062 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 621.82 , 0.218236 , 1 , 63 , 0 , 11 , 19 , 1 , 0.009 , 0.063 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 618.5 , 0.887764 , 5 , 57 , 0 , 512 , 0 , 0 , 0.037 , 0.149 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 608 , 2.57035 , 142 , 145 , 33 , 0 , 0 , 0 , 0.004 , 0.125 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 608 , 2.57035 , 125 , 135 , 0 , 0 , 272 , 35 , 0.004 , 0.116 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 617 , 1.12813 , 10 , 75 , 0 , 11 , 0 , 0 , 0.01 , 0.079 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 616.97 , 1.13294 , 11 , 77 , 0 , 11 , 31 , 1 , 0.01 , 0.062 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 616.24 , 0.712145 , 10 , 67 , 1 , 322 , 0 , 0 , 0.025 , 0.115 , 1
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 95 , 101 , 7 , 0 , 0 , 0 , 0.005 , 0.09 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 45 , 89 , 0 , 0 , 155 , 16 , 0.004 , 0.066 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.49 , 0.832984 , 6 , 72 , 0 , 8 , 0 , 0 , 0.013 , 0.064 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.49 , 0.832984 , 6 , 71 , 0 , 8 , 51 , 1 , 0.013 , 0.064 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 618.9 , 0.850675 , 6 , 58 , 0 , 376 , 0 , 0 , 0.042 , 0.146 , 1
