Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 729.48 , 690 , 5.41207 , 0.053 , 72.481 , 4 , 716 , 13.48 , 12.85 , 13.48 , 729.48 , 729.48 , 0 , 8166 , 2272 , 1.86806 , 269 , 0.044682 , 0 , 252 , 0.410666 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 729.48 , 703.889 , 3.50811 , 60.169 , 215.47 , 4 , 716 , 13.48 , 12.85 , 13.48 , 729.48 , 729.48 , 0 , 6630 , 2545 , 4.37729 , 323 , 0.053885 , 0 , 0 , 0 , 5942 , 2.09462 , 1970 , 0.764898 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 729.48 , 703.859 , 3.51228 , 60.103 , 181.656 , 4 , 716 , 13.48 , 12.85 , 13.48 , 729.48 , 729.48 , 0 , 6436 , 2567 , 4.09269 , 399 , 0.596725 , 0 , 0 , 0 , 5921 , 2.01883 , 1953 , 0.657682 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_3.svrp , 729.48 , 703.857 , 3.51254 , 60.115 , 116.286 , 4 , 716 , 13.48 , 12.85 , 13.48 , 729.48 , 729.48 , 0 , 4988 , 1787 , 3.62148 , 160 , 0.221907 , 0 , 0 , 0 , 5899 , 1.99831 , 1465 , 1.56618 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 633.455 , 1.08752 , 0.035 , 1.76 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 333 , 432 , 0.087987 , 81 , 0.012466 , 0 , 78 , 0.009998 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 48.729 , 51.844 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 549 , 660 , 2.32711 , 45 , 0.007543 , 0 , 0 , 0 , 2820 , 26.0043 , 544 , 0.069429 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 47.453 , 49.088 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 353 , 464 , 2.26367 , 30 , 0.066416 , 0 , 0 , 0 , 2820 , 25.99 , 373 , 0.042676 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 47.427 , 49.062 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 322 , 461 , 2.25718 , 28 , 0.06353 , 0 , 0 , 0 , 2820 , 26.0013 , 367 , 0.108494 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 704.5 , 2.58438 , 0.029 , 2.321 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 581 , 528 , 0.084268 , 126 , 0.028969 , 0 , 104 , 0.018187 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 52.745 , 57.312 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 574 , 730 , 2.50863 , 137 , 0.025094 , 0 , 0 , 0 , 2274 , 38.1032 , 618 , 0.071828 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 53.006 , 57.295 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 645 , 622 , 2.51582 , 174 , 0.198742 , 0 , 0 , 0 , 2274 , 38.0996 , 624 , 0.069773 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 53.116 , 62.812 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 775 , 757 , 2.55074 , 197 , 0.253579 , 0 , 0 , 0 , 2274 , 38.113 , 746 , 0.272584 , 1
