Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k4/50_4_0.82_1_6.svrp , 737.32 , 732.419 , 0.664642 , 61.12 , 69.109 , 4 , 730 , 7.32 , 7.3 , 7.32 , 737.32 , 737.32 , 0 , 673 , 635 , 6.2404 , 85 , 0.178908 , 0 , 0 , 0 , 2918 , 11.5182 , 585 , 0.158741 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_6.svrp , 737.32 , 732.419 , 0.664642 , 61.549 , 67.522 , 4 , 730 , 7.32 , 7.3 , 7.32 , 737.32 , 737.32 , 0 , 673 , 571 , 6.24385 , 89 , 0.188017 , 0 , 0 , 0 , 2918 , 11.6302 , 523 , 0.506275 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_7.svrp , 728.57 , 712.6 , 2.19191 , 0.061 , 3.265 , 4 , 717 , 11.57 , 11.18 , 11.57 , 728.57 , 728.57 , 0 , 813 , 605 , 0.198288 , 56 , 0.017793 , 0 , 48 , 0.028592 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_7.svrp , 728.57 , 723.895 , 0.641691 , 63.823 , 65.356 , 4 , 717 , 11.57 , 11.18 , 11.57 , 728.57 , 728.57 , 0 , 364 , 578 , 2.22962 , 32 , 0.010781 , 0 , 0 , 0 , 1679 , 53.7453 , 414 , 0.060067 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_7.svrp , 728.57 , 723.895 , 0.641691 , 64.043 , 77.223 , 4 , 717 , 11.57 , 11.18 , 11.57 , 728.57 , 728.57 , 0 , 1215 , 1128 , 2.45223 , 105 , 0.305639 , 0 , 0 , 0 , 1679 , 53.8409 , 929 , 0.236471 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_7.svrp , 728.57 , 723.895 , 0.641691 , 64.008 , 73.042 , 4 , 717 , 11.57 , 11.18 , 11.57 , 728.57 , 728.57 , 0 , 825 , 973 , 2.38788 , 69 , 0.173194 , 0 , 0 , 0 , 1679 , 53.7841 , 792 , 0.479002 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_8.svrp , 757.39 , 737 , 2.69214 , 0.096 , 14.936 , 4 , 738 , 19.39 , 19.39 , 19.39 , 757.39 , 757.39 , 0 , 2009 , 1155 , 0.506986 , 178 , 0.027196 , 0 , 184 , 0.045693 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_8.svrp , 757.39 , 744.073 , 1.75822 , 60.778 , 147.191 , 4 , 738 , 19.39 , 19.39 , 19.39 , 757.39 , 757.39 , 0 , 5637 , 1881 , 12.4333 , 286 , 0.049998 , 0 , 0 , 0 , 2292 , 15.8905 , 1815 , 1.02769 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_8.svrp , 757.39 , 744.056 , 1.7605 , 60.312 , 154.054 , 4 , 738 , 19.39 , 19.39 , 19.39 , 757.39 , 757.39 , 0 , 4739 , 1849 , 11.5528 , 336 , 0.639107 , 0 , 0 , 0 , 2275 , 14.2374 , 1717 , 0.86392 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_8.svrp , 757.39 , 744.056 , 1.7605 , 60.406 , 126.465 , 4 , 738 , 19.39 , 19.39 , 19.39 , 757.39 , 757.39 , 0 , 3936 , 1706 , 11.2766 , 295 , 0.544673 , 0 , 0 , 0 , 2275 , 14.2871 , 1568 , 2.20444 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_9.svrp , 742.66 , 719.903 , 3.06424 , 0.11 , 22.351 , 4 , 734 , 8.66 , 7.79 , 8.66 , 742.66 , 742.66 , 0 , 3457 , 1280 , 0.76372 , 294 , 0.097263 , 0 , 241 , 0.116555 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_9.svrp , 742.66 , 727.993 , 1.97496 , 60.135 , 96.685 , 4 , 734 , 8.66 , 7.79 , 8.66 , 742.66 , 742.66 , 0 , 3809 , 1459 , 4.82243 , 197 , 0.070556 , 0 , 0 , 0 , 2987 , 3.36066 , 1281 , 0.622581 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_9.svrp , 742.66 , 727.994 , 1.97476 , 60.143 , 211.711 , 4 , 734 , 8.66 , 7.79 , 8.66 , 742.66 , 742.66 , 0 , 6748 , 2292 , 5.66769 , 592 , 1.23619 , 0 , 0 , 0 , 2994 , 3.38449 , 2263 , 1.23378 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_9.svrp , 742.66 , 727.993 , 1.97498 , 60.108 , 102.681 , 4 , 734 , 8.66 , 7.79 , 8.66 , 742.66 , 742.66 , 0 , 2629 , 1580 , 4.58196 , 313 , 0.663782 , 0 , 0 , 0 , 2984 , 3.36937 , 1472 , 1.42306 , 1
