Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.149 , 3.70577 , 60.403 , 1000.14 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 746.367 , 0.476442 , 44960 , 795 , 12.3312 , 1311 , 61.6248 , 0 , 0 , 0 , 2208 , 0.76588 , 1723 , 26.8304 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_1.svrp , 749.94 , 722.158 , 3.70454 , 60.179 , 444.384 , 3 , 742 , 7.94 , 7.94 , 7.94 , 749.94 , 749.94 , 0 , 28323 , 628 , 8.35388 , 471 , 15.6938 , 0 , 0 , 0 , 2268 , 0.791081 , 1439 , 53.785 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 812.7 , 674.667 , 16.9845 , 0.023 , 1000.15 , 3 , 726 , 86.7 , 77.54 , 86.7 , 812.7 , 705.354 , 13.2086 , 19073 , 1198 , 5.83295 , 4588 , 1.59824 , 0 , 3940 , 8.64142 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 769.95 , 730.901 , 5.07166 , 60.416 , 1000.21 , 3 , 707 , 62.95 , 54.97 , 62.95 , 769.95 , 748.615 , 2.77095 , 37440 , 971 , 9.51924 , 2683 , 1.1654 , 0 , 0 , 0 , 1761 , 0.467376 , 2138 , 27.6505 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 768.09 , 730.899 , 4.84205 , 60.336 , 1000.16 , 3 , 701 , 67.09 , 58.47 , 67.09 , 768.09 , 753.309 , 1.9244 , 49979 , 1003 , 11.6495 , 2652 , 125.09 , 0 , 0 , 0 , 1743 , 0.465808 , 2060 , 34.905 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_2.svrp , 772.23 , 730.899 , 5.35213 , 60.423 , 1000.16 , 3 , 757 , 15.23 , 15.05 , 15.23 , 772.23 , 750.836 , 2.77037 , 31958 , 1018 , 9.59091 , 2464 , 134.077 , 0 , 0 , 0 , 1752 , 0.463608 , 2430 , 73.9875 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 745.73 , 658.132 , 11.7467 , 0.037 , 1000.12 , 3 , 670 , 75.73 , 66.86 , 75.73 , 745.73 , 672.208 , 9.85905 , 15345 , 1004 , 4.11499 , 3688 , 1.54804 , 0 , 2839 , 6.93778 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.726 , 2.25736 , 60.178 , 622.344 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 29558 , 689 , 6.96214 , 1922 , 0.905694 , 0 , 0 , 0 , 2284 , 0.77111 , 1496 , 18.1227 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.725 , 2.25757 , 60.124 , 599.505 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 21907 , 650 , 4.63148 , 1883 , 110.708 , 0 , 0 , 0 , 2264 , 0.769026 , 1296 , 13.5288 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 713.84 , 697.744 , 2.25486 , 60.231 , 832.852 , 3 , 705 , 8.84 , 8.74 , 8.84 , 713.84 , 713.84 , 0 , 21383 , 1002 , 5.97577 , 2058 , 118.453 , 0 , 0 , 0 , 2474 , 0.829915 , 2108 , 48.151 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 767.78 , 700.062 , 8.82 , 0.038 , 1000.07 , 3 , 747 , 20.78 , 19.4 , 20.78 , 767.78 , 716.54 , 6.67381 , 14851 , 1340 , 4.48356 , 3730 , 1.65301 , 0 , 2882 , 6.55092 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.866 , 1.84222 , 60.486 , 257.128 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 37940 , 546 , 6.90853 , 634 , 0.286143 , 0 , 0 , 0 , 2294 , 0.723851 , 799 , 19.2542 , 1
SRI2 , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.868 , 1.84187 , 60.312 , 388.915 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 33167 , 605 , 7.28957 , 1268 , 50.5383 , 0 , 0 , 0 , 2349 , 0.740646 , 989 , 17.6426 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.866 , 1.84214 , 60.308 , 135.296 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 9671 , 353 , 1.90895 , 391 , 14.3624 , 0 , 0 , 0 , 2304 , 0.721626 , 661 , 16.1813 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 872.64 , 743.576 , 14.79 , 0.036 , 1000.14 , 3 , 755 , 117.64 , 94.83 , 117.64 , 872.64 , 760.081 , 12.8986 , 12643 , 1254 , 2.99929 , 4715 , 1.88026 , 0 , 1906 , 5.48435 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 802.72 , 776.319 , 3.289 , 60.169 , 1000.19 , 3 , 797 , 5.72 , 5.72 , 5.72 , 802.72 , 794.746 , 0.993376 , 34473 , 1060 , 9.78231 , 2956 , 1.32192 , 0 , 0 , 0 , 2164 , 0.685068 , 1866 , 24.5117 , 0
SRI2 , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 812.17 , 776.318 , 4.41438 , 60.217 , 1000.23 , 3 , 805 , 7.17 , 6.63 , 7.17 , 812.17 , 789.132 , 2.83665 , 23519 , 1207 , 5.96716 , 2422 , 192.873 , 0 , 0 , 0 , 2144 , 0.687649 , 1895 , 18.4674 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 803.3 , 776.318 , 3.35886 , 60.208 , 1000.2 , 3 , 797 , 6.3 , 5.57 , 6.3 , 803.3 , 801.54 , 0.219096 , 36387 , 679 , 8.24517 , 2939 , 240.241 , 0 , 0 , 0 , 2154 , 0.685908 , 1750 , 65.8062 , 0
ILS , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 816.44 , 699.037 , 14.3798 , 0.015 , 1000.09 , 3 , 721 , 95.44 , 89.4 , 95.44 , 816.44 , 720.49 , 11.7523 , 14200 , 1367 , 3.93644 , 3567 , 1.50588 , 0 , 2442 , 6.40161 , 0 , 0 , 0 , 0 , 0
