Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI1 , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 48.729 , 51.844 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 549 , 660 , 2.32711 , 45 , 0.007543 , 0 , 0 , 0 , 2820 , 26.0043 , 544 , 0.069429 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 47.453 , 49.088 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 353 , 464 , 2.26367 , 30 , 0.066416 , 0 , 0 , 0 , 2820 , 25.99 , 373 , 0.042676 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_4.svrp , 640.42 , 636.125 , 0.670654 , 47.427 , 49.062 , 4 , 619 , 21.42 , 21.3 , 21.42 , 640.42 , 640.42 , 0 , 322 , 461 , 2.25718 , 28 , 0.06353 , 0 , 0 , 0 , 2820 , 26.0013 , 367 , 0.108494 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 704.5 , 2.58438 , 0.029 , 2.321 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 581 , 528 , 0.084268 , 126 , 0.028969 , 0 , 104 , 0.018187 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 52.745 , 57.312 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 574 , 730 , 2.50863 , 137 , 0.025094 , 0 , 0 , 0 , 2274 , 38.1032 , 618 , 0.071828 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 53.006 , 57.295 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 645 , 622 , 2.51582 , 174 , 0.198742 , 0 , 0 , 0 , 2274 , 38.0996 , 624 , 0.069773 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_5.svrp , 723.19 , 719.261 , 0.543239 , 53.116 , 62.812 , 4 , 709 , 14.19 , 14.19 , 14.19 , 723.19 , 723.19 , 0 , 775 , 757 , 2.55074 , 197 , 0.253579 , 0 , 0 , 0 , 2274 , 38.113 , 746 , 0.272584 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 677.34 , 658.261 , 2.81669 , 0.048 , 8.055 , 4 , 667 , 10.34 , 10.04 , 10.34 , 677.34 , 677.34 , 0 , 2061 , 748 , 0.356911 , 182 , 0.026898 , 0 , 171 , 0.034894 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 677.34 , 666.373 , 1.61908 , 42.463 , 46.615 , 4 , 667 , 10.34 , 10.04 , 10.34 , 677.34 , 677.34 , 0 , 1481 , 624 , 1.35365 , 97 , 0.014941 , 0 , 0 , 0 , 1757 , 25.5388 , 563 , 0.135102 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 677.34 , 666.373 , 1.61908 , 42.29 , 45.564 , 4 , 667 , 10.34 , 10.04 , 10.34 , 677.34 , 677.34 , 0 , 1132 , 595 , 1.3085 , 104 , 0.12821 , 0 , 0 , 0 , 1757 , 25.3321 , 532 , 0.099732 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_6.svrp , 677.34 , 666.373 , 1.61908 , 42.444 , 46.185 , 4 , 667 , 10.34 , 10.04 , 10.34 , 677.34 , 677.34 , 0 , 1297 , 575 , 1.33419 , 107 , 0.130589 , 0 , 0 , 0 , 1757 , 25.4431 , 509 , 0.353445 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 679.11 , 649.948 , 4.29422 , 0.045 , 24.526 , 4 , 668 , 11.11 , 11.06 , 11.11 , 679.11 , 679.11 , 0 , 5211 , 1217 , 0.786425 , 312 , 0.052699 , 0 , 240 , 0.243192 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 679.11 , 663.053 , 2.36449 , 67.093 , 95.713 , 4 , 668 , 11.11 , 11.06 , 11.11 , 679.11 , 679.11 , 0 , 3743 , 1351 , 2.61804 , 260 , 0.040772 , 0 , 0 , 0 , 2323 , 42.7568 , 1103 , 0.370875 , 1
SRI2 , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 679.11 , 663.053 , 2.36449 , 66.895 , 141.406 , 4 , 668 , 11.11 , 11.06 , 11.11 , 679.11 , 679.11 , 0 , 7040 , 1743 , 3.54858 , 424 , 0.622899 , 0 , 0 , 0 , 2323 , 42.5514 , 1511 , 0.713106 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 679.11 , 663.053 , 2.36449 , 67.065 , 151.104 , 4 , 668 , 11.11 , 11.06 , 11.11 , 679.11 , 679.11 , 0 , 6195 , 1796 , 3.26505 , 515 , 0.760233 , 0 , 0 , 0 , 2323 , 42.6593 , 1522 , 2.22353 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_8.svrp , 687.31 , 665.831 , 3.12505 , 0.045 , 2.512 , 4 , 656 , 31.31 , 30.96 , 31.31 , 687.31 , 687.31 , 0 , 1280 , 394 , 0.188092 , 73 , 0.019409 , 0 , 51 , 0.023286 , 0 , 0 , 0 , 0 , 1
