Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 483.96 , 3.28924% , 635 , 87 , 27365 , 253 , 0 , 0.04 , 7.053
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 482.42 , 3.59698% , 979 , 94 , 409 , 0 , 14 , 0.01 , 0.632
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 536 , 2.18978% , 147 , 243 , 37 , 0 , 0 , 0.016 , 0.189
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 536 , 2.18978% , 147 , 243 , 37 , 0 , 0 , 0.521 , 1.911
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 535.34 , 2.31022% , 129 , 272 , 3 , 0 , 1 , 0.028 , 0.235
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 551.57 , 551 , 0.57 , 0.57 , 551.57 , 551.57 , 0% , 549 , 0.465943% , 33 , 101 , 511 , 0 , 0 , 0.014 , 0.094
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 551.57 , 551 , 0.57 , 0.57 , 551.57 , 551.57 , 0% , 547.81 , 0.68169% , 44 , 100 , 583 , 1 , 0 , 0.377 , 0.785
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 551.57 , 551 , 0.57 , 0.57 , 551.57 , 551.57 , 0% , 547.5 , 0.737894% , 131 , 107 , 21 , 0 , 1 , 0.021 , 0.121
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573.11 , 573 , 0.11 , 0.11 , 573.11 , 573.11 , 0% , 566 , 1.2406% , 174 , 160 , 9900 , 0 , 0 , 0.006 , 1.438
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573.11 , 573 , 0.11 , 0.11 , 573.11 , 573.11 , 0% , 566 , 1.2406% , 174 , 160 , 9900 , 0 , 0 , 0.234 , 3.988
