Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 609.08 , 605.2 , 0.637026 , 0.27 , 0.974 , 2 , 604 , 5.08 , 5.08 , 5.08 , 609.08 , 609.08 , 0 , 11 , 166 , 0.074643 , 0 , 0 , 5 , 0 , 0.068745 , 11 , 0.026678 , 6 , 0.055262 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 610 , 607.74 , 0.370422 , 0.042 , 0.16 , 2 , 606 , 4 , 4 , 4 , 610 , 610 , 0 , 1 , 102 , 0.017344 , 0 , 0 , 1 , 3 , 0.016348 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 610 , 608.7 , 0.213115 , 0.389 , 0.576 , 2 , 606 , 4 , 4 , 4 , 610 , 610 , 0 , 1 , 114 , 0.0436 , 0 , 0 , 1 , 0 , 0.01419 , 21 , 0.060142 , 0 , 0.013318 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 665.24 , 651.99 , 1.99176 , 0.057 , 3.814 , 2 , 654 , 11.24 , 11.24 , 13.56 , 665.24 , 665.24 , 0 , 1090 , 217 , 0.160538 , 0 , 0 , 129 , 9 , 1.84072 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 665.24 , 652.39 , 1.93163 , 0.343 , 3.448 , 2 , 654 , 11.24 , 11.24 , 13.56 , 665.24 , 665.24 , 0 , 761 , 235 , 0.163501 , 0 , 0 , 89 , 0 , 1.08271 , 15 , 0.05467 , 16 , 0.750447 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 694.8 , 674.357 , 2.94233 , 0.048 , 6.617 , 2 , 671 , 23.8 , 23.8 , 24.12 , 694.8 , 694.8 , 0 , 1360 , 675 , 0.371561 , 0 , 0 , 26 , 74 , 1.58334 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 694.8 , 680.8 , 2.01497 , 0.474 , 2.649 , 2 , 671 , 23.8 , 23.8 , 24.12 , 694.8 , 694.8 , 0 , 762 , 297 , 0.215979 , 0 , 0 , 12 , 0 , 0.733864 , 83 , 0.13731 , 23 , 0.7404 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 684.92 , 674.565 , 1.51186 , 0.056 , 7.247 , 2 , 677 , 7.92 , 7.92 , 9.64 , 684.92 , 684.92 , 0 , 997 , 661 , 0.311947 , 0 , 0 , 52 , 108 , 1.33133 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_1.svrp , 684.92 , 677.092 , 1.14283 , 1.015 , 3.514 , 2 , 677 , 7.92 , 7.92 , 9.64 , 684.92 , 684.92 , 0 , 578 , 390 , 0.355886 , 0 , 0 , 44 , 0 , 0.594362 , 135 , 0.348369 , 51 , 0.554837 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 651.6 , 641.18 , 1.59914 , 0.036 , 1.457 , 2 , 642 , 9.6 , 9.6 , 9.64 , 651.6 , 651.6 , 0 , 764 , 174 , 0.116643 , 0 , 0 , 56 , 35 , 0.859845 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_2.svrp , 651.6 , 642.38 , 1.41498 , 0.337 , 2.492 , 2 , 642 , 9.6 , 9.6 , 9.64 , 651.6 , 651.6 , 0 , 513 , 231 , 0.163811 , 0 , 0 , 25 , 0 , 0.604462 , 18 , 0.068391 , 55 , 0.600491 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 679.88 , 670.582 , 1.36753 , 0.072 , 0.785 , 2 , 667 , 12.88 , 12.88 , 14.36 , 679.88 , 679.88 , 0 , 328 , 171 , 0.077911 , 0 , 0 , 20 , 20 , 0.377552 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_3.svrp , 679.88 , 674.767 , 0.752094 , 1.023 , 1.573 , 2 , 667 , 12.88 , 12.88 , 14.36 , 679.88 , 679.88 , 0 , 106 , 141 , 0.122872 , 0 , 0 , 7 , 0 , 0.151056 , 153 , 0.462728 , 14 , 0.146632 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 710.08 , 689.6 , 2.88418 , 0.024 , 85.226 , 2 , 697 , 13.08 , 13.08 , 14.04 , 710.08 , 710.08 , 0 , 9477 , 1867 , 2.35308 , 0 , 0 , 222 , 437 , 11.6031 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_4.svrp , 710.08 , 692.207 , 2.51709 , 0.416 , 41.07 , 2 , 697 , 13.08 , 13.08 , 14.04 , 710.08 , 710.08 , 0 , 6731 , 1274 , 1.64642 , 0 , 0 , 49 , 0 , 7.57575 , 38 , 0.146863 , 301 , 7.72354 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_5.svrp , 679 , 669.199 , 1.44347 , 0.054 , 1.414 , 2 , 669 , 10 , 10 , 14 , 679 , 679 , 0 , 286 , 237 , 0.104349 , 0 , 0 , 16 , 19 , 0.380861 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_5.svrp , 679 , 671.1 , 1.16348 , 0.317 , 1.513 , 2 , 669 , 10 , 10 , 14 , 679 , 679 , 0 , 202 , 202 , 0.109198 , 0 , 0 , 19 , 0 , 0.369289 , 31 , 0.06023 , 10 , 0.27101 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_6.svrp , 662.64 , 640.82 , 3.29289 , 0.033 , 0.969 , 2 , 646 , 16.64 , 16.64 , 19.6 , 662.64 , 662.64 , 0 , 199 , 203 , 0.10291 , 0 , 0 , 5 , 21 , 0.229598 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_6.svrp , 662.64 , 650.964 , 1.76204 , 1.036 , 8.418 , 2 , 646 , 16.64 , 16.64 , 19.6 , 662.64 , 662.64 , 0 , 730 , 463 , 0.454718 , 0 , 0 , 33 , 0 , 1.13359 , 192 , 0.421767 , 46 , 1.10099 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_7.svrp , 657.16 , 636.1 , 3.2047 , 0.059 , 28.26 , 2 , 639 , 18.16 , 18.16 , 24.24 , 657.16 , 657.16 , 0 , 4450 , 1072 , 0.995368 , 0 , 0 , 136 , 357 , 5.83298 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_7.svrp , 657.16 , 643.96 , 2.00864 , 1.011 , 13.117 , 2 , 639 , 18.16 , 18.16 , 24.24 , 657.16 , 657.16 , 0 , 2604 , 693 , 0.773838 , 0 , 0 , 16 , 0 , 3.17702 , 194 , 0.431387 , 218 , 3.20072 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_8.svrp , 692.28 , 675.827 , 2.37669 , 0.056 , 19.802 , 2 , 684 , 8.28 , 8.28 , 9.88 , 692.28 , 692.28 , 0 , 2011 , 1089 , 0.788167 , 0 , 0 , 47 , 92 , 2.78672 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_8.svrp , 692.28 , 680.02 , 1.77096 , 0.549 , 23.422 , 2 , 684 , 8.28 , 8.28 , 9.88 , 692.28 , 692.28 , 0 , 1940 , 1080 , 0.869386 , 0 , 0 , 61 , 0 , 2.7663 , 69 , 0.168495 , 133 , 2.73035 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.95_1_9.svrp , 639.48 , 623.19 , 2.54738 , 0.049 , 10.3 , 2 , 627 , 12.48 , 12.48 , 14.56 , 639.48 , 639.48 , 0 , 2685 , 421 , 0.444933 , 0 , 0 , 202 , 190 , 3.89021 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_9.svrp , 639.48 , 626.66 , 2.00475 , 0.528 , 4.347 , 2 , 627 , 12.48 , 12.48 , 14.56 , 639.48 , 639.48 , 0 , 834 , 287 , 0.309697 , 0 , 0 , 25 , 0 , 1.13517 , 57 , 0.220726 , 59 , 1.02998 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_0.svrp , 697.32 , 690 , 1.04973 , 0.049 , 0.754 , 2 , 690 , 7.32 , 7.32 , 8.12 , 697.32 , 697.32 , 0 , 159 , 130 , 0.058727 , 0 , 0 , 18 , 8 , 0.208198 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_0.svrp , 697.32 , 693.06 , 0.61091 , 0.721 , 1.024 , 2 , 690 , 7.32 , 7.32 , 8.12 , 697.32 , 697.32 , 0 , 7 , 125 , 0.0769 , 0 , 0 , 4 , 0 , 0.044477 , 93 , 0.092051 , 1 , 0.033962 , 1 , 0
