Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 678.76 , 645.25 , 4.93694 , 0.027 , 600.01 , 4 , 668 , 10.76 , 10.68 , 10.76 , 678.76 , 673.165 , 0.824297 , 59500 , 4191 , 14.3986 , 2739 , 5.66148 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_7.svrp , 678.76 , 663.964 , 2.17983 , 0.971 , 10.963 , 4 , 668 , 10.76 , 10.68 , 10.76 , 678.76 , 678.76 , 0 , 2510 , 798 , 1.03108 , 33 , 0.167538 , 36 , 0 , 0.352408 , 330 , 0.320718 , 176 , 0.367976 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_8.svrp , 685.6 , 657.5 , 4.0986 , 0.023 , 4.77 , 4 , 656 , 29.6 , 29.2 , 29.6 , 685.6 , 685.6 , 0 , 3138 , 542 , 0.500544 , 356 , 0.367863 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_8.svrp , 685.6 , 678.425 , 1.04657 , 1.57 , 2.223 , 4 , 656 , 29.6 , 29.2 , 29.6 , 685.6 , 685.6 , 0 , 264 , 171 , 0.583293 , 16 , 0.028977 , 8 , 0 , 0.076762 , 570 , 0.615756 , 92 , 0.065791 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_9.svrp , 682.44 , 657 , 3.7278 , 0.023 , 15.839 , 4 , 668 , 14.44 , 13.32 , 14.44 , 682.44 , 682.44 , 0 , 6292 , 880 , 0.88778 , 544 , 0.641031 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_9.svrp , 682.44 , 676.48 , 0.873312 , 0.842 , 1.457 , 4 , 668 , 14.44 , 13.32 , 14.44 , 682.44 , 682.44 , 0 , 102 , 179 , 0.174905 , 5 , 0.011221 , 4 , 0 , 0.025698 , 419 , 0.211872 , 115 , 0.032116 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_0.svrp , 749.08 , 718.5 , 4.08234 , 0.029 , 69.845 , 4 , 745 , 4.08 , 4 , 4.08 , 749.08 , 749.08 , 0 , 16549 , 1465 , 4.05144 , 827 , 2.11574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_0.svrp , 749.08 , 738.28 , 1.44177 , 1.36 , 4.057 , 4 , 745 , 4.08 , 4 , 4.08 , 749.08 , 749.08 , 0 , 551 , 359 , 0.51967 , 7 , 0.067997 , 11 , 0 , 0.181165 , 422 , 0.356176 , 125 , 0.153745 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_1.svrp , 724.84 , 710.143 , 2.02764 , 0.064 , 6.937 , 4 , 719 , 5.84 , 5.84 , 5.84 , 724.84 , 724.84 , 0 , 2388 , 573 , 0.534171 , 383 , 0.405456 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_1.svrp , 724.84 , 720.233 , 0.635543 , 7.995 , 9.363 , 4 , 719 , 5.84 , 5.84 , 5.84 , 724.84 , 724.84 , 0 , 169 , 234 , 1.6809 , 5 , 0.022902 , 3 , 0 , 0.050876 , 839 , 2.93741 , 131 , 0.067364 , 1 , 0
