Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/Jabali/k3/60_3_0.85_1_8.svrp , 755.34 , 749.238 , 0.807857 , 34.965 , 37.971 , 3 , 750 , 5.34 , 5.34 , 5.34 , 755.34 , 755.34 , 0 , 487 , 344 , 0.260696 , 68 , 0.228449 , 0 , 0 , 45 , 34.6117 , 63 , 0.191295 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 661.74 , 641 , 3.13416 , 0.116 , 35.598 , 3 , 652 , 9.74 , 9.74 , 11.45 , 661.74 , 661.74 , 0 , 2367 , 1051 , 0.650502 , 241 , 0.820959 , 155 , 0.098941 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 661.74 , 652.855 , 1.34271 , 60.266 , 77.267 , 3 , 652 , 9.74 , 9.74 , 11.45 , 661.74 , 661.74 , 0 , 829 , 646 , 4.24793 , 88 , 0.268837 , 0 , 0 , 3067 , 24.7713 , 157 , 0.341636 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 661.74 , 652.855 , 1.34271 , 60.135 , 89.658 , 3 , 652 , 9.74 , 9.74 , 11.45 , 661.74 , 661.74 , 0 , 872 , 737 , 4.19441 , 90 , 0.351911 , 0 , 0 , 3067 , 24.7822 , 168 , 0.362702 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 734.95 , 719 , 2.17022 , 0.061 , 36.363 , 3 , 730 , 4.95 , 4.95 , 6.01 , 734.95 , 734.95 , 0 , 2503 , 1207 , 0.80451 , 197 , 0.657012 , 113 , 0.094347 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 734.95 , 724.321 , 1.44625 , 38.257 , 43.831 , 3 , 730 , 4.95 , 4.95 , 6.01 , 734.95 , 734.95 , 0 , 765 , 564 , 0.554033 , 54 , 0.174375 , 0 , 0 , 106 , 37.432 , 63 , 0.226614 , 1
SRI , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 734.95 , 722.893 , 1.64048 , 38.108 , 69.695 , 3 , 730 , 4.95 , 4.95 , 6.01 , 734.95 , 734.95 , 0 , 1522 , 1284 , 0.837914 , 91 , 0.370594 , 0 , 0 , 106 , 37.2626 , 116 , 0.540627 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.34 , 739.896 , 0.863461 , 0.064 , 0.816 , 3 , 739 , 7.34 , 7.34 , 7.85 , 746.34 , 746.34 , 0 , 104 , 163 , 0.031507 , 22 , 0.060907 , 18 , 0.006247 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.34 , 740.086 , 0.838013 , 33.367 , 38.231 , 3 , 739 , 7.34 , 7.34 , 7.85 , 746.34 , 746.34 , 0 , 493 , 445 , 0.302383 , 59 , 0.181694 , 0 , 0 , 198 , 32.2103 , 44 , 0.172075 , 1
SRI , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.34 , 741.725 , 0.618351 , 33.298 , 34.221 , 3 , 739 , 7.34 , 7.34 , 7.85 , 746.34 , 746.34 , 0 , 79 , 189 , 0.180925 , 12 , 0.030805 , 0 , 0 , 198 , 32.1531 , 24 , 0.028313 , 1
