Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.821 , 2.87025 , 27.906 , 45.071 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 8674 , 629 , 1.91008 , 211 , 1.11894 , 0 , 0 , 292 , 26.6705 , 247 , 0.318601 , 1
SRI , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.788 , 2.87564 , 27.521 , 104.551 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 8.10779e-05 , 50816 , 741 , 6.63759 , 159 , 7.84416 , 0 , 0 , 292 , 26.3421 , 204 , 1.66137 , 1
ILS , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 557.23 , 1.32632 , 0.065 , 4.09 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1680 , 494 , 0.218341 , 118 , 0.244405 , 128 , 0.022721 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 559.321 , 0.956075 , 34.221 , 37.07 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 2098 , 512 , 0.453093 , 86 , 0.223448 , 0 , 0 , 145 , 33.2455 , 103 , 0.069223 , 1
SRI , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 559.258 , 0.967228 , 34.011 , 37.308 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 2589 , 506 , 0.514364 , 89 , 0.267062 , 0 , 0 , 145 , 33.0574 , 112 , 0.077847 , 1
ILS , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 813.19 , 695.682 , 14.4503 , 0.316 , 1800.31 , 13 , 770 , 43.19 , 43.19 , 43.19 , 813.19 , 713.965 , 12.202 , 11339 , 13660 , 8.12963 , 307 , 1.1485 , 678 , 0.687442 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 833.33 , 702.97 , 15.6433 , 60.317 , 1800.24 , 13 , 757 , 76.33 , 76.33 , 76.37 , 833.33 , 717.527 , 13.8964 , 11649 , 15445 , 10.106 , 402 , 1.52407 , 0 , 0 , 4257 , 2.38712 , 909 , 1.40162 , 0
SRI , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 821.1 , 702.971 , 14.3867 , 60.335 , 1800.2 , 13 , 780 , 41.1 , 41.1 , 42.61 , 821.1 , 715.013 , 12.9201 , 12866 , 15686 , 12.4434 , 229 , 1.33495 , 0 , 0 , 4264 , 2.38848 , 797 , 1.73125 , 0
ILS , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 761.42 , 680.177 , 10.6699 , 0.375 , 1800.09 , 12 , 752 , 9.42 , 9.42 , 9.42 , 761.42 , 696.46 , 8.53141 , 12472 , 15145 , 9.66419 , 179 , 0.598311 , 246 , 0.322809 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 759.29 , 681.777 , 10.2086 , 60.28 , 1800.21 , 12 , 735 , 24.29 , 24.29 , 24.3 , 759.29 , 697.684 , 8.11362 , 13752 , 16174 , 15.2555 , 189 , 0.664257 , 0 , 0 , 3110 , 3.40381 , 353 , 1.69817 , 0
SRI , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 768.86 , 681.45 , 11.3688 , 60.349 , 1800.17 , 12 , 748 , 20.86 , 20.86 , 20.92 , 768.86 , 696.761 , 9.37737 , 12166 , 16406 , 12.8047 , 237 , 0.65549 , 0 , 0 , 3093 , 3.38414 , 414 , 1.55482 , 0
ILS , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 1032.81 , 741.021 , 28.2519 , 0.369 , 1800.14 , 13 , 913 , 119.81 , 119.81 , 140.92 , 1032.81 , 755.015 , 26.897 , 10441 , 13198 , 8.63544 , 133 , 0.787846 , 870 , 0.870913 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 927.06 , 743.804 , 19.7674 , 60.284 , 1800.17 , 13 , 875 , 52.06 , 52.06 , 55 , 927.06 , 758.569 , 18.1747 , 10181 , 14776 , 10.6074 , 313 , 1.10609 , 0 , 0 , 5871 , 4.26868 , 1222 , 1.37522 , 0
SRI , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 967.45 , 743.673 , 23.1306 , 60.232 , 1800.27 , 13 , 859 , 108.45 , 108.45 , 110.09 , 967.45 , 757.194 , 21.733 , 9922 , 13534 , 11.162 , 174 , 0.947979 , 0 , 0 , 5874 , 4.26828 , 1073 , 1.43699 , 0
ILS , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 794.46 , 719.267 , 9.46462 , 0.37 , 1800.12 , 12 , 775 , 19.46 , 19.46 , 19.47 , 794.46 , 735.655 , 7.40185 , 13180 , 14661 , 11.1517 , 214 , 0.90618 , 264 , 0.58784 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 805.18 , 724.529 , 10.0165 , 60.206 , 1800.18 , 12 , 784 , 21.18 , 21.18 , 21.19 , 805.18 , 737.752 , 8.37431 , 13247 , 13542 , 16.2337 , 141 , 0.747185 , 0 , 0 , 2837 , 4.25375 , 293 , 1.83168 , 0
SRI , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 797.16 , 724.445 , 9.12177 , 60.222 , 1800.35 , 12 , 795 , 2.16 , 2.16 , 2.16 , 797.16 , 737.772 , 7.45001 , 13601 , 14109 , 16.9712 , 201 , 0.863632 , 0 , 0 , 2845 , 4.27275 , 353 , 1.79314 , 0
